Affiliation,Party,Leader,Location,Time,Battle,Army Size
Stark,Robb Stark,Robb Stark,Whispering Wood,7,Battle of the Whispering Wood,6000
Stark,Roose Bolton,Roose Bolton,Twins,8,None,13000
Stark,Robb Stark,Robb Stark,Riverrun,8,Battle of the Camps,6000
Stark,Brynden Tully,Brynden Tully,Riverrun,8,Battle of the Camps,6000
Lannister,Jaime Lannister,Jaime Lannister,Whispering Wood,7,Battle of the Whispering Wood,3000
Lannister,Andros Brax,Andros Brax,Riverrun,7,Battle of the Camps,12000
Lannister,Tywin Lannister,Tywin Lannister,Green Fork,7,Battle of the Green Fork,20000
Lannister,Tywin Lannister,Tywin Lannister,Harrenhal,8,None,19000
Lannister,Tywin Lannister,Forley Prester,Golden Tooth,8,None,2000
The Crowning of the Kings,,,,,,
Renly Baratheon,Renly Baratheon,Renly Baratheon,King's Landing,0,None,0
Renly Baratheon,Renly Baratheon,Renly Baratheon,Highgarden,8,None,100000
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Dragonstone,8,None,5000
Renly Baratheon,Renly Baratheon,Renly Baratheon,Bitterbridge,9,None,100000
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Dragonstone,9,None,5000
Greyjoy,Balon Greyjoy,Balon Greyjoy,Iron Islands,9,None,5000
The Rise of the Kraken,,,,,,
Greyjoy,Victarion Greyjoy,Victarion Greyjoy,Moat Cailin,10,Battle of Moat Cailin,1000
Greyjoy,Asha Greyjoy,Asha Greyjoy,Deepwood Motte,10,Battle of Deepwood Motte,1000
Greyjoy,Theon Greyjoy,Theon Greyjoy,Stony Shore,10,Battle of Stony Shore,250
Greyjoy,Dagmer Cleftjaw,Dagmer Cleftjaw,Torrhen's Square,11,Battle of Torrhen's Square,900
Greyjoy,Theon Greyjoy,Theon Greyjoy,Winterfell,11,Battle Winterfell,250
Stark,Rodrik Cassel,Rodrik Cassel,Winterfell,11,Battle Winterfell,2000
Lannister,Ramsay Snow,Ramsay Snow,Dreadfort,10,None,600
Lannister,Ramsay Snow,Ramsay Snow,Winterfell,11,Battle Winterfell,600
The Clash of Kings,,,,,,
Lannister,Tywin Lannister,Tywin Lannister,Harrenhal,9,None,19000
Lannister,Stafford Lannister,Stafford Lannister,Lannisport,9,None,5000
Stark,Robb Stark,Robb Stark,Oxcross,10,Battle of Oxcross,6000
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Storm's End,11,Seige of Storm's End,5000
Renly Baratheon,Renly Baratheon,Renly Baratheon,Storm's End,11,Seige of Storm's End,20000
Stannis Baratheon,Erren Florent,Erren Florent,bitterbridge,12,bitterbridge,25000
Renly Baratheon,Loras Tyrell,Loras Tyrell,bitterbridge,12,bitterbridge,"50,000"
Lannister,Tywin Lannister,Tywin Lannister,Stone Mill,12,Battle of the Fords,"20,000"
Stark,Edmure Tully,Edmure Tully,Riverrun,10,None,"11,000"
Stark,Edmure Tully,Edmure Tully,Stone Mill,12,Battle of the Fords,"11,000"
Lannister,Mace Tyrell,Mace Tyrell,Highgarden,10,None,"10,000"
Lannister,Mace Tyrell,Mace Tyrell,Tumbler's Fall,13,None,"10,000"
Lannister,Tywin Lannister,Tywin lannister,Tumbler's Fall,13,None,"10,000"
Lannister,Loras Tyrell,Loras Tyrell,Tumbler's Fall,13,None,"50,000"
Stark,Roose Bolton,Roose Bolton,Harrenhal,13,Battle of Harrenhall,13000
Stark,Robb Stark,Robb Stark,Crag,13,Stroming the Crag,6000
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,King's Landing,13,Battle of the Blackwater,5000
Stannis Baratheon,Erren Florent,Stannis Baratheon,King's Landing,13,Battle of the Blackwater,25000
Lannister,Tywin Lannister,Tywin Lannister,King's Landing,14,Battle of the Blackwater,65000
The War Winds Down,,,,,,
Stark,Darry,Darry,Darry,15,Siege of Darry,2000
Stark,Roose Bolton,Roose Bolton,Duskendale,16,Battle of Duskendale,3000
Stark,Roose Bolton,Roose Bolton,Ruby Ford,16,Battle of the Ruby Ford,3000
Lannister,Gregor Clegane,Gregor Clegane,Ruby Ford,16,Battle of the Ruby Ford,10000
Lannister,Gregor Clegane,Gregor Clegane,Harrenhal,17,Retaking of Harrenhal,10000
Lannister,Randyll Tarly,Randyll Tarly,Maidenpool,18,Battle of Maidenpool,10000
Stark,Robb Stark,Robb Stark,Oldstones,18,None,3500
Stark,Robb Stark,Robb Stark,Twins,19,Red Wedding,3500
Lannister,Roose Bolton,Roose Bolton,Twins,19,Red Wedding,3000
The feasting crows,,,,,,
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Dragonstone,15,None,5000
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Castle Black,17,Battle of Castle Black,3000
Lannister,Ramsay Bolton,Ramsay Bolton,Moat Cailin,16,Siege of Moat Cailin,6000
Greyjoy,Asha Greyjoy,Asha Greyjoy,Deepwood Motte,18,Fight by Deepwood Motte,140
Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,Deepwood Motte,18,Fight by Deepwood Motte,3000
Greyjoy,Euron Greyjoy,Euron Greyjoy,Shield Island,19,Taking of the Shields,1000
Greyjoy,Euron Greyjoy,Euron Greyjoy,Ryamsport,20,None,250
Greyjoy,Euron Greyjoy,Euron Greyjoy,VineTown,20,None,250
Greyjoy,Euron Greyjoy,Euron Greyjoy,Starfish harbor,20,None,250
Lannister,Mace Tyrell,Mace Tyrell,Mace Tyrell,20,Second siege on storm's end,10000
Lannister,Loras Tyrell,Loras Tyrell,Loras Tyrell,20,Siege of Dragonstone,2000
Stark,Brynden Tully,Brynden Tully,Brynden Tully,20,Siege of riverrun,200
Lannister,Jaime Lannister,Jaime Lannister,Jaime Lannister,20,Siege of riverrun,4000
Lannister,Stannis Baratheon,Stannis Baratheon,Stannis Baratheon,20,Battle of Winterfell,3000
